Title,Brand,Reviews,Rating,Selling Price,Image URL,Product URL
"HappyBuddy Talking Plush Toy Lenny The Lion | Soft Toy for Kids 1-5 Years Age",HappyBuddy,50,3.9,999,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUyNTI3OTMzODE4NTUwOjE3NDY5NjQxMzg6c3BfYXRmOjMwMDU1NTIxMDcxMDMzMjo6MDo6&url=%2FHappyBuddy-Talking-Plush-Toy-Lion%2Fdp%2FB0F4NGGGDQ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1L46ACLRRCWW1%26dib%3DeyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHibwPnUKgR6RQh3zDq26NKFQfTmq7ATBj0HeTpORHbCAGqIay4zQXeCP-eysQor2yt-3_BE6Lp85wC54WSke1GjIkIffo7p9bwHKm3sJU5mQW6x14xIeY-duhTAe9Utfjhb-JI-kEwMCEQMT0yp-xVmJzgK6vUfAxOCkrcwxMB3eltihd2ZG8QwlF_DLZzLIuBCwQvOiJeotEz-klyo9er-NeR63pgjX-Y7zCqhupbl0a11X7yaZshzrUW6vOgU2gYKyw-xlfW1XfLm49RA4IRg.W_06C3Kga0ouYuPN_kfIm6pgpacFTMaOay0rlBk169I%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746964138%26sprefix%3Dsoft%2Btoys%2B%252Caps%252C249%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://www.amazon.in/HappyBuddy-Talking-Plush-Toy-Lion/dp/B0F4NGGGDQ/ref=sr_1_1_sspa?crid=1L46ACLRRCWW1&dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHibwPnUKgR6RQh3zDq26NKFQfTmq7ATBj0HeTpORHbCAGqIay4zQXeCP-eysQor2yt-3_BE6Lp85wC54WSke1GjIkIffo7p9bwHKm3sJU5mQW6x14xIeY-duhTAe9Utfjhb-JI-kEwMCEQMT0yp-xVmJzgK6vUfAxOCkrcwxMB3eltihd2ZG8QwlF_DLZzLIuBCwQvOiJeotEz-klyo9er-NeR63pgjX-Y7zCqhupbl0a11X7yaZshzrUW6vOgU2gYKyw-xlfW1XfLm49RA4IRg.W_06C3Kga0ouYuPN_kfIm6pgpacFTMaOay0rlBk169I&dib_tag=se&keywords=soft+toys&qid=1746964138&sprefix=soft+toys+%2Caps%2C249&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1"
"Babique Cow Tremp Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Pack of 1)(30 cm)",Babique,629,4.3,319,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUyNTI3OTMzODE4NTUwOjE3NDY5NjQxMzg6c3BfYXRmOjMwMDAwNTA2OTQ5NTIzMjo6MDo6&url=%2FBabique-Tremp-Plush-Animal-Decor%2Fdp%2FB0BFNNS31H%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1L46ACLRRCWW1%26dib%3DeyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHibwPnUKgR6RQh3zDq26NKFQfTmq7ATBj0HeTpORHbCAGqIay4zQXeCP-eysQor2yt-3_BE6Lp85wC54WSke1GjIkIffo7p9bwHKm3sJU5mQW6x14xIeY-duhTAe9Utfjhb-JI-kEwMCEQMT0yp-xVmJzgK6vUfAxOCkrcwxMB3eltihd2ZG8QwlF_DLZzLIuBCwQvOiJeotEz-klyo9er-NeR63pgjX-Y7zCqhupbl0a11X7yaZshzrUW6vOgU2gYKyw-xlfW1XfLm49RA4IRg.W_06C3Kga0ouYuPN_kfIm6pgpacFTMaOay0rlBk169I%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746964138%26sprefix%3Dsoft%2Btoys%2B%252Caps%252C249%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://www.amazon.in/Babique-Tremp-Plush-Animal-Decor/dp/B0BFNNS31H/ref=sr_1_2_sspa?crid=1L46ACLRRCWW1&dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHibwPnUKgR6RQh3zDq26NKFQfTmq7ATBj0HeTpORHbCAGqIay4zQXeCP-eysQor2yt-3_BE6Lp85wC54WSke1GjIkIffo7p9bwHKm3sJU5mQW6x14xIeY-duhTAe9Utfjhb-JI-kEwMCEQMT0yp-xVmJzgK6vUfAxOCkrcwxMB3eltihd2ZG8QwlF_DLZzLIuBCwQvOiJeotEz-klyo9er-NeR63pgjX-Y7zCqhupbl0a11X7yaZshzrUW6vOgU2gYKyw-xlfW1XfLm49RA4IRg.W_06C3Kga0ouYuPN_kfIm6pgpacFTMaOay0rlBk169I&dib_tag=se&keywords=soft+toys&qid=1746964138&sprefix=soft+toys+%2Caps%2C249&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1"
"Storio Toy Plushie Super Soft Toys for Kids | Adorable Plush Soft Toys for Baby Boys and Girls - Penguin Black & White",Storio,1600,4.2,189,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUyNTI3OTMzODE4NTUwOjE3NDY5NjQxMzg6c3BfYXRmOjMwMDUzNTkyNjU0MDEzMjo6MDo6&url=%2FStorio-Plushie-Super-Adorable-Plush%2Fdp%2FB0CQG83Q12%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1L46ACLRRCWW1%26dib%3DeyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHibwPnUKgR6RQh3zDq26NKFQfTmq7ATBj0HeTpORHbCAGqIay4zQXeCP-eysQor2yt-3_BE6Lp85wC54WSke1GjIkIffo7p9bwHKm3sJU5mQW6x14xIeY-duhTAe9Utfjhb-JI-kEwMCEQMT0yp-xVmJzgK6vUfAxOCkrcwxMB3eltihd2ZG8QwlF_DLZzLIuBCwQvOiJeotEz-klyo9er-NeR63pgjX-Y7zCqhupbl0a11X7yaZshzrUW6vOgU2gYKyw-xlfW1XfLm49RA4IRg.W_06C3Kga0ouYuPN_kfIm6pgpacFTMaOay0rlBk169I%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746964138%26sprefix%3Dsoft%2Btoys%2B%252Caps%252C249%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://www.amazon.in/Storio-Plushie-Super-Adorable-Plush/dp/B0CQG83Q12/ref=sr_1_3_sspa?crid=1L46ACLRRCWW1&dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHibwPnUKgR6RQh3zDq26NKFQfTmq7ATBj0HeTpORHbCAGqIay4zQXeCP-eysQor2yt-3_BE6Lp85wC54WSke1GjIkIffo7p9bwHKm3sJU5mQW6x14xIeY-duhTAe9Utfjhb-JI-kEwMCEQMT0yp-xVmJzgK6vUfAxOCkrcwxMB3eltihd2ZG8QwlF_DLZzLIuBCwQvOiJeotEz-klyo9er-NeR63pgjX-Y7zCqhupbl0a11X7yaZshzrUW6vOgU2gYKyw-xlfW1XfLm49RA4IRg.W_06C3Kga0ouYuPN_kfIm6pgpacFTMaOay0rlBk169I&dib_tag=se&keywords=soft+toys&qid=1746964138&sprefix=soft+toys+%2Caps%2C249&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1"
"Kidology Baby Plush Toy with Music, Lights, & Breathing Motion, Interactive Teddy Bear for Sens...",Kidology,101,3.7,949,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUyNTI3OTMzODE4NTUwOjE3NDY5NjQxMzg6c3BfYXRmOjMwMDU1NTY0Njc4NjAzMjo6MDo6&url=%2FKidology-Breathing-Interactive-Learning-Valentine%2Fdp%2FB0DS8V1HQQ%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1L46ACLRRCWW1%26dib%3DeyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHibwPnUKgR6RQh3zDq26NKFQfTmq7ATBj0HeTpORHbCAGqIay4zQXeCP-eysQor2yt-3_BE6Lp85wC54WSke1GjIkIffo7p9bwHKm3sJU5mQW6x14xIeY-duhTAe9Utfjhb-JI-kEwMCEQMT0yp-xVmJzgK6vUfAxOCkrcwxMB3eltihd2ZG8QwlF_DLZzLIuBCwQvOiJeotEz-klyo9er-NeR63pgjX-Y7zCqhupbl0a11X7yaZshzrUW6vOgU2gYKyw-xlfW1XfLm49RA4IRg.W_06C3Kga0ouYuPN_kfIm6pgpacFTMaOay0rlBk169I%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746964138%26sprefix%3Dsoft%2Btoys%2B%252Caps%252C249%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://www.amazon.in/Kidology-Breathing-Interactive-Learning-Valentine/dp/B0DS8V1HQQ/ref=sr_1_4_sspa?crid=1L46ACLRRCWW1&dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHibwPnUKgR6RQh3zDq26NKFQfTmq7ATBj0HeTpORHbCAGqIay4zQXeCP-eysQor2yt-3_BE6Lp85wC54WSke1GjIkIffo7p9bwHKm3sJU5mQW6x14xIeY-duhTAe9Utfjhb-JI-kEwMCEQMT0yp-xVmJzgK6vUfAxOCkrcwxMB3eltihd2ZG8QwlF_DLZzLIuBCwQvOiJeotEz-klyo9er-NeR63pgjX-Y7zCqhupbl0a11X7yaZshzrUW6vOgU2gYKyw-xlfW1XfLm49RA4IRg.W_06C3Kga0ouYuPN_kfIm6pgpacFTMaOay0rlBk169I&dib_tag=se&keywords=soft%2Btoys&qid=1746964138&sprefix=soft%2Btoys%2B%2Caps%2C249&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1"
